ED,TOT_POP
DEL 001,46
DEL 002,2168
DEL 003,883
DEL 004,760
DEL 005,1054
DEL 006,676
DEL 007,945
DEL 008,1008
DEL 009,1149
DEL 010,309
DEL 011,1299
DEL 012,1107
DEL 013,826
DEL 014,1154
DEL 015,647
DEL 016,1287
DEL 017,848
DEL 018,530
DEL 019,633
DEL 020,554
DEL 021,940
DEL 022,652
DEL 023,894
DEL 024,597
DEL 025,950
DEL 026,848
DEL 027,629
DEL 028,542
DEL 029,1401
DEL 030,1196
DEL 031,1452
DEL 032,1211
DEL 033,767
DEL 034,856
ELL 000,0
ELL 001,2339
ELL 002,565
ELL 003,593
ELL 004,433
ELL 005,340
ELL 006,531
ELL 007,645
ELL 008,191
ELL 009,313
ELL 010,645
ELL 011,691
ELL 012,923
ELL 013,1345
ELL 014,442
ELL 015,543
ELL 016,754
ELL 017,546
ELL 018,347
ELL 019,1083
ELL 020,632
ELL 021,931
ELL 022,942
ELL 023,507
ELL 024,952
ELL 025,797
ELL 026,967
ELL 027,620
ELL 028,555
ELL 029,1500
ELL 030,471
ELL 031,1581
ELL 032,327
ELL 033,298
ELL 034,838
ELL 035,2507
ELL 036,1024
FIL 000,23
FIL 001,1106
FIL 002,971
FIL 003,993
FIL 004,449
FIL 005,1580
FIL 006,294
FIL 007,1015
FIL 008,1319
FIL 009,739
FIL 010,1140
FIL 011,1959
FIL 012,176
FIL 013,1560
FIL 014,1333
FIL 015,661
FIL 016,286
FIL 017,470
FIL 018,1263
FIL 019,1412
FIL 020,624
FIL 021,739
FIL 022,264
FIL 023,427
FIL 024,988
FIL 025,1521
FIL 026,638
FIL 027,2009
FIL 028,1512
FIL 029,745
FIL 030,791
FIL 031,1241
FIL 032,611
FIL 033,707
FIL 034,596
FIL 035,503
LOV 001,658
LOV 002,202
LOV 003,1152
LOV 004,944
LOV 005,939
LOV 006,1191
LOV 007,665
LOV 008,404
LOV 009,1299
LOV 010,1166
LOV 011,722
LOV 012,1725
LOV 013,868
LOV 014,1596
LOV 015,910
LOV 016,1354
LOV 017,1237
LOV 018,1133
LOV 019,935
LOV 020,597
LOV 021,704
LOV 022,234
LOV 023,571
LOV 024,1694
LOV 025,25
LOV 026,731
LOV 027,338
LOV 028,1362
LOV 029,1109
LOV 030,1094
LOV 031,2148
LOV 032,232
MAS 001,827
MAS 002,449
MAS 003,1387
MAS 004,918
MAS 005,111
MAS 006,350
MAS 007,1130
MAS 008,913
MAS 009,610
MAS 010,544
MAS 011,916
MAS 012,1027
MAS 013,681
MAS 014,1198
MAS 015,529
MAS 016,586
MAS 017,256
MAS 018,527
MAS 019,551
MAS 020,1143
MAS 021,518
MAS 022,533
MAS 023,1372
MAS 024,1576
MAS 025,736
MAS 026,337
MAS 027,1116
MAS 028,607
MAS 029,593
MAS 030,746
MAS 031,345
MAS 032,1171
MAS 033,1135
MAS 034,344
MAS 035,532
MAS 036,667
MAS 037,157
MAS 038,834
MAS 039,188
MAS 040,742
MAS 041,231
MAS 042,827
NIA 001,974
NIA 002,1789
NIA 003,392
NIA 004,503
NIA 005,1698
NIA 006,821
NIA 007,1293
NIA 008,1313
NIA 009,1164
NIA 010,1198
NIA 011,1210
NIA 012,1699
NIA 013,1404
NIA 014,1524
NIA 015,300
NIA 016,2008
NIA 017,618
NIA 018,1486
NIA 019,1759
NIA 020,604
NIA 021,1885
NIA 022,685
NIA 023,700
NIA 024,1187
NIA 025,1317
NIA 026,538
NIA 027,776
NIA 028,772
NOR 001,1570
NOR 002,2410
NOR 003,759
NOR 004,613
NOR 005,1880
NOR 006,1654
NOR 007,1263
NOR 008,166
NOR 010,636
NOR 011,863
NOR 012,1885
NOR 013,1584
NOR 014,1161
NOR 016,933
NOR 017,895
NOR 018,1856
NOR 019,2103
NOR 020,1554
NOR 021,1333
NOR 022,1120
NOR 023,3263
NOR 024,575
NOR 025,1282
NOR 026,2245
NOR 027,112
SOU 000,12
SOU 001,647
SOU 002,2298
SOU 003,856
SOU 004,668
SOU 005,1554
SOU 006,1358
SOU 007,524
SOU 008,701
SOU 009,665
SOU 010,568
SOU 011,2893
SOU 012,1158
SOU 013,618
SOU 014,563
SOU 015,589
SOU 016,1503
SOU 017,1097
SOU 018,858
SOU 019,712
SOU 020,763
SOU 021,337
SOU 022,994
SOU 023,922
SOU 024,961
SOU 025,1136
SOU 026,584
SOU 027,735
SOU 028,1200
SOU 029,748
SOU 030,878
UNI 001,282
UNI 002,1572
UNI 003,865
UNI 004,1895
UNI 005,866
UNI 006,668
UNI 007,1117
UNI 008,759
UNI 009,469
UNI 010,2361
UNI 011,1133
UNI 012,1551
UNI 013,2293
UNI 014,1138
UNI 015,1030
UNI 016,1928
UNI 017,1043
UNI 018,542
UNI 019,1323
UNI 020,709
UNI 021,1263
UNI 022,760
UNI 023,1932
UNI 024,1273
UNI 025,1425
UNI 026,982
UNI 027,638
